UCI ROAD Calendar;;;;;;;;;03.01.2021
Date From;Date To;Name;Venue;Country;Category;Calendar;Class;EMail;WebSite
25/03/2021;25/03/2021;AG Driedaagse Brugge-De Panne;;BELGIUM;WE;;1.WWT;secretariaat@driedaagse.be;www.driedaagse.be
28/03/2021;28/03/2021;Gent-Wevelgem In Flanders Fields;;BELGIUM;WE;;1.WWT;info@gent-wevelgem.be;www.gent-wevelgem.be
31/03/2021;31/03/2021;Dwars door Vlaanderen - A travers la Flandre;;BELGIUM;WE;;1.1;women@ddvl.eu;www.dwarsdoorvlaanderen.be
02/04/2021;04/04/2021;National Road Championships - Chile;;CHILE;;;CN;FEDENACICH@GMAIL.COM;
04/04/2021;04/04/2021;Ronde van Vlaanderen - Tour des Flandres;;BELGIUM;WE;;1.WWT;wim.vanherreweghe@flandersclassics.be;www.flandersclassics.be
05/04/2021;05/04/2021;Ronde de Mouscron;;BELGIUM;WE;;1.1;jeanlucvdb@skynet.be;
07/04/2021;07/04/2021;Scheldeprijs vrouwen elite;;BELGIUM;WE;;1.1;wim.vanherreweghe@flandersclassics.be;
08/04/2021;10/04/2021;"The Princess Maha Chackri Sirindhorn's Cup ""Women's Tour of Thailand""";;THAILAND;WE;;2.1;taca1959@yahoo.com;www.thaicycling.or.th
08/04/2021;11/04/2021;Joe Martin Stage Race;;UNITED STATES OF AMERICA;WE;;2.2;bruce@allsportsproductionsinc.com;www.joemartinstagerace.com
11/04/2021;11/04/2021;Paris-Roubaix Femmes;;FRANCE;WE;;1.WWT;tgouvenou@aso.fr;www.letour.fr
14/04/2021;14/04/2021;Brabantse Pijl dames;;BELGIUM;WE;;1.1;de.drie.hamers@telenet.be;
18/04/2021;18/04/2021;Grand Prix Féminin de Chambéry;;FRANCE;WE;;1.2;organisation@toursavoiemontblanc.com;
18/04/2021;18/04/2021;Amstel Gold Race Ladies Edition;;NETHERLANDS;WE;;1.WWT;info@amstelgoldrace.nl;www.amstelgoldrace.com
21/04/2021;21/04/2021;La Flèche Wallonne Féminine;;BELGIUM;WE;;1.WWT;fernandlambertrlvb@hotmail.com;http://www.letour.fr/la-fleche-wallonne-femme/
24/04/2021;24/04/2021;EPZ Omloop van Borsele;;NETHERLANDS;WE;;1.1;omloopvanborsele@kpnmail.nl;www.epzomloopvanborsele.nl
25/04/2021;25/04/2021;Liège-Bastogne-Liège Femmes;;BELGIUM;WE;;1.WWT;fernandlambertrlvb@hotmail.com;http://www.liege-bastogne-liege-femmes.com/
28/04/2021;02/05/2021;Tour of the Gila;;UNITED STATES OF AMERICA;WE;;2.2;brennan5231@comcast.net;www.tourofthegila.com
29/04/2021;02/05/2021;Gracia;;CZECH REPUBLIC;WE;;2.2;gracia.orlova@centrum.cz;www.graciaorlova.cz
30/04/2021;02/05/2021;Ceratizit Festival Elsy Jacobs;;LUXEMBOURG;WE;;2.Pro;info@elsy-jacobs.lu;www.elsy-jacobs.lu
05/05/2021;07/05/2021;Tour of Uppsala;;SWEDEN;WE;;2.2;goranmattsson.uck@hotmail.com;
04/05/2021;08/05/2021;Bretagne Ladies Tour CERATIZIT;;FRANCE;WE;;2.1;team@tbf.bzh;www.tbf.bzh
06/05/2021;08/05/2021;Tour of Chongming Island - UCI Women's WorldTour;;PEOPLE'S REPUBLIC OF CHINA;WE;;2.WWT;"admin@chncycling.com; shcmhds@vip.163.com";www.shcmty.net
08/05/2021;08/05/2021;GP Eco-Struct;;BELGIUM;WE;;1.2;info@dewielkeszuigers.be;www.dewielkeszuigers.be
05/05/2021;09/05/2021;National Road Championships - Cyprus;;CYPRUS;;;CN;ccf@cytanet.com.cy;www.cypruscycling.org
09/05/2021;09/05/2021;Gran Premio Ciudad de Eibar;;SPAIN;WE;;1.1;clubciclistaeibarres@gmail.com;www.clubciclistaeibarres.org
09/05/2021;09/05/2021;Trofee Maarten Wynants;;BELGIUM;WE;;1.1;tim_wijnants@msn.com;www.prochallengehelchteren.be
11/05/2021;11/05/2021;Emakumeen Nafarroako Women's Elite Classics;;SPAIN;WE;;1.1;miguel@vueltanavarra.com;vueltanavarra.com
12/05/2021;12/05/2021;Navarra Women's Elite Classics;;SPAIN;WE;;1.1;miguel@vueltanavarra.com;vueltanavarra.com
11/05/2021;13/05/2021;Tour of Zhoushan Island (Shengsi Stage);;PEOPLE'S REPUBLIC OF CHINA;WE;;2.2;"admin@chncycling.com; admin@qiujijin.com";
14/05/2021;14/05/2021;La Classique Morbihan;;FRANCE;WE;;1.1;jerome.lappartient@wanadoo.fr;www.grand-prix-plumelec.com
15/05/2021;15/05/2021;Grand Prix du Morbihan Féminin;;FRANCE;WE;;1.1;jerome.lappartient@wanadoo.fr;www.grand-prix-plumelec.com
16/05/2021;16/05/2021;Flanders Ladies Classic - Sofie De Vuyst (Herzele-Steenhuize);;BELGIUM;WE;;1.2;info@steenhuizekoerse.be;www.steenhuizekoerse.be
16/05/2021;16/05/2021;Tour of Wenzhou Women's International Road Race;;PEOPLE'S REPUBLIC OF CHINA;WE;;1.2;admin@chncycling.com;
18/05/2021;18/05/2021;Durango - Durango Emakumeen Saria;;SPAIN;WE;;1.1;"info@duranguesa.com ; durangodurango@duranguesa.com";www.duranguesa.com
21/05/2021;21/05/2021;Veenendaal - Veenendaal Classic;;NETHERLANDS;WE;;1.1;hannekebouwmans@gmail.com;www.veenendaalveenendaal.nl
20/05/2021;23/05/2021;Vuelta a Burgos Feminas;;SPAIN;WE;;2.WWT;vueltaburgos@diputaciondeburgos.es;www.vueltaburgos.com/feminas
29/05/2021;29/05/2021;Tour of Taiyuan International Women's Road Cycling Race;;PEOPLE'S REPUBLIC OF CHINA;WE;;1.2;admin@chncycling.com;
25/05/2021;30/05/2021;Internationale LOTTO Thüringen Ladies Tour;;GERMANY;WE;;2.Pro;info@lottothueringen-ladies-tour.de;www.lottothueringen-ladies-tour.de
30/05/2021;30/05/2021;RideLondon Classique;;GREAT BRITAIN;WE;;1.WWT;womens.classique@londonmarathonevents.co.uk;https://www.prudentialridelondon.co.uk/events/classique/
03/06/2021;03/06/2021;Chrono Féminin de la Gatineau;;CANADA;WE;;1.1;tourdegatineau@gmail.com;www.cyclingcanada.ca
04/06/2021;04/06/2021;Tour de Gatineau;;CANADA;WE;;1.1;tourdegatineau@gmail.com;www.cyclingcanada.ca
05/06/2021;05/06/2021;Salverda Omloop van de IJsseldelta;;NETHERLANDS;WE;;1.2;janvanommen@planet.nl;www.omloopvandeijsseldelta.nl
04/06/2021;06/06/2021;National Road Championships - Ecuador;;ECUADOR;;;CN;ecuatorianadeciclismo@gmail.com;
05/06/2021;06/06/2021;Tour de Suisse Women;;SWITZERLAND;WE;;2.1;info@tourdesuisse.ch;www.tourdesuisse.ch
05/06/2021;06/06/2021;National Road Champiosnhips - Peru;;PERU;;;CN;presidencia@fedepeci.pe / asisjut@fedepeci.pe;www.fedepeci.pe
06/06/2021;06/06/2021;Dwars door de Westhoek;;BELGIUM;WE;;1.1;wvancauwenberge@hotmail.com;www.dwarsdoordewesthoek.be
07/06/2021;12/06/2021;Women's Tour;;GREAT BRITAIN;WE;;2.WWT;bennettm@thetour.co.uk;www.womenstour.co.uk
09/06/2021;13/06/2021;Vuelta Internacional Femenina a Guatemala;20 Vuelta Internacional Femenina a Guatemala;GUATEMALA;WE;;2.2;fciclismo.guatemala@gmail.com;fedeciclismogua.org
12/06/2021;13/06/2021;National Road Championships - Paraguay;;PARAGUAY;;;CN;presidente@fpc.org.py;Fpc.org.py
13/06/2021;13/06/2021;SPAR Flanders Diamond Tour;;BELGIUM;WE;;1.1;info@flandersdiamondtour.be;www.flandersdiamondtour.be
17/06/2021;18/06/2021;National Road Championships - South Korea;;KOREA;;;CN;cycling@sports.or.kr;http://cycling.or.kr
12/06/2021;19/06/2021;National Road Championships - Israel;;ISRAEL;;;CN;contact@israelcycling.org.il;www.israelcycling.org.il
16/06/2021;19/06/2021;Championnats Nationaux Route - Algérie;;ALGERIA;;;CN;alg.cyc.fed@gmail.com;www.fac.dz
17/06/2021;19/06/2021;Championnats Nationaux Route - Luxembourg;;LUXEMBOURG;;;CN;vcdiekirch@gmail.com;https://vcdiekirch.jimdofree.com
11/06/2021;20/06/2021;National Road Championships - Costa Rica;;COSTA RICA;;;CN;fecoci@fecoci.net;www.fecoci.net
12/06/2021;20/06/2021;National Road Championships - Bulgaria;;BULGARIA;;;CN;admin@bgcf.bg;www.bgcf.bg
13/06/2021;20/06/2021;National Road Championships - El Salvador;;EL SALVADOR;;;CN;fsc.ciclismo@gmail.com;www.fsc.org.sv
13/06/2021;20/06/2021;National Road Championships - Guatemala;;GUATEMALA;;;CN;fciclismo.guatemala@gmail.com;www.fedeciclismogua.org
15/06/2021;20/06/2021;National Road Championships - Spain;;SPAIN;;;CN;alejandromartin@rfec.com;
16/06/2021;20/06/2021;National Road Championships - Kazakhstan;;KAZAKHSTAN;;;CN;kazcycling@mail.ru;
16/06/2021;20/06/2021;National Road Championships - Latvia;;LATVIA;;;CN;federacija@lrf.lv;www.lrf.lv
16/06/2021;20/06/2021;Championnats Nationaux Route - Tunisie;;TUNISIA;;;CN;admin@ftc.tn;www.ftcyclisme.tn
16/06/2021;20/06/2021;National Road Championships - Ukraine;;UKRAINE;;;CN;federation@velosport.org.ua;
17/06/2021;20/06/2021;National Road Championships - Sweden;;SWEDEN;;;CN;kansli@scf.se;www.scf.se
17/06/2021;20/06/2021;National Road Championships - Great Britain;;GREAT BRITAIN;;;CN;road@britishcycling.org.uk;www.britishcycling.org.uk
17/06/2021;20/06/2021;Championnats Nationaux Route - France;;FRANCE;;;CN;a.fourez@ffc.fr;
17/06/2021;20/06/2021;National Road Championships - Cuba;;CUBA;;;CN;ciclismo@inder.gob.cu;
17/06/2021;20/06/2021;National Road Championships - Slovakia;;SLOVAKIA;;;CN;jancinka957@gmail.com;https://www.cyklistikaszc.sk/
17/06/2021;20/06/2021;National Road Championships - Japan;;JAPAN;;;CN;cycling@japan-sports.or.jp;https://jcf.or.jp/
17/06/2021;20/06/2021;National Road Championships - Ireland;;IRELAND;;;CN;garry.nugent@cyclingireland.ie;www.cyclingireland.ie
17/06/2021;20/06/2021;National Road Championships - Estonia;;ESTONIA;;;CN;ejl@ejl.ee;www.ejl.ee
17/06/2021;20/06/2021;National Road Championships - Lithuania;;LITHUANIA;;;CN;info@ldsf.lt;www.ldsf.lt
18/06/2021;20/06/2021;National Road Championships - Mexico;;MEXICO;;;CN;fmc.mexico@hotmail.com;
18/06/2021;20/06/2021;National Road Championships - Venezuela;;BOLIVARIAN REPUBLIC OF VENEZUELA;;;CN;fvciclismove@gmail.com;http://twitter.com/fvciclismo
18/06/2021;20/06/2021;National Road Championships - Serbia;;SERBIA;;;CN;office@bss.rs;www.bss.rs
18/06/2021;20/06/2021;National Road Championships - Greece;;GREECE;;;CN;eopbike@otenet.gr;
18/06/2021;20/06/2021;National Road Championships - Brasil;;BRAZIL;;;CN;cbc@cbc.esp.br;www.cbc.esp.br
18/06/2021;20/06/2021;Championnats Nationaux Route - Maroc;;MOROCCO;;;CN;frmc56@gmail.com;www.marocainecyclisme.com
19/06/2021;20/06/2021;National Road Championships - Indonesia;;INDONESIA;;;CN;contact@icf.id;www.icf.id
19/06/2021;20/06/2021;National Road Championships - Honduras;;HONDURAS;;;CN;vkcas@yahoo.com;vkcas@yahoo.com
19/06/2021;20/06/2021;National Road Champoinships - British Virgin Islands;;BRITISH VIRGIN ISLANDS;;;CN;danddmark@surfbvi.com;virginislandscycling.org
19/06/2021;20/06/2021;National Road Championships - Turkey;;TURKEY;;;CN;info@bisiklet.gov.tr;www.bisiklet.gov.tr
19/06/2021;20/06/2021;Championnats Nationaux Route - Rwanda;;RWANDA;;;CN;ferwacy@yahoo.fr;www.ferwacy.rw
19/06/2021;20/06/2021;National Road Championships - Germany (ME-WE-IRR);;GERMANY;;;CN;albrecht.roeder@freunde-eventagentur.de;www.rad-net.de
16/06/2021;21/06/2021;National Road Championships - Iceland;;ICELAND;;;CN;stjorn@hri.is;www.hri.is
18/06/2021;21/06/2021;National Road Championships - Romania;;ROMANIA;;;CN;office@federatiadeciclism.ro;WWW.FEDERATIADECICLISM.RO
17/06/2021;26/06/2021;Championnats Nationaux Route - Italie;;ITALY;;;CN;strada@federciclismo.it;
24/06/2021;26/06/2021;National Road Championships - Bosnia and Herzegovina;;BOSNIA AND HERZEGOVINA;;;CN;bisabih@blic.net;www.afsport.org
13/06/2021;27/06/2021;National Road Championships - Puerto Rico;;PUERTO RICO;;;CN;ismfuente@yahoo.com / fecipur@gmail.com;www.fecipur.org
17/06/2021;27/06/2021;National Road Championships - USA;;UNITED STATES OF AMERICA;;;CN;tmccarthy@usacycling.org;www.usacycling.org
20/06/2021;27/06/2021;National Road Championships - Singapore;;SINGAPORE;;;CN;admin@cycling.org.sg;
24/06/2021;27/06/2021;Lotto Belgium Tour;;BELGIUM;WE;;2.1;info@lottobelgiumtour.be;www.lottobelgiumtour.be
26/06/2021;27/06/2021;National Road Championships - Malaysia;;MALAYSIA;;;CN;mncf@mail.com;http://mncf.org.my
27/06/2021;27/06/2021;La Course by Le Tour de France;;FRANCE;WE;;1.WWT;tgouvenou@aso.fr;www.letour.fr
04/07/2021;04/07/2021;2 Districtenpijl - Ekeren-Deurne;;BELGIUM;WE;;1.2;info@rabc1882.be;https://www.2districtenpijl-ekeren-deurne.be/
09/07/2021;09/07/2021;Chrono Kristin Armstrong;;UNITED STATES OF AMERICA;WE;;1.2;mcooley@georgescycles.com;www.chronokristinarmstrong.com
09/07/2021;09/07/2021;Elite Road Central American Championships - WE - ITT;;EL SALVADOR;WE;;1.2;fsc.ciclismo@gmail.com;
10/07/2021;10/07/2021;Grand Prix Erciyes - Mimar Sinan;;TURKEY;WE;;1.2;info@veloerciyes.com;www.cyclingerciyes.com
02/07/2021;11/07/2021;Giro d'Italia Internazionale Femminile;;ITALY;WE;;2.Pro;strada@federciclismo.it;
08/07/2021;11/07/2021;Tour de Feminin;;CZECH REPUBLIC;WE;;2.2;info@tourdefeminin.com;www.tourdefeminin.com
08/07/2021;11/07/2021;Baloise Ladies Tour;;BELGIUM;WE;;2.1;glssport@telenet.be;www.baloiseladiestour.com
11/07/2021;11/07/2021;Grand Prix Kayseri;;TURKEY;WE;;1.2;info@veloerciyes.com;www.cyclingerciyes.com
11/07/2021;11/07/2021;Delta Road Race;;CANADA;WE;;1.2;contact@tourdedelta.com;tourdedelta.com
11/07/2021;11/07/2021;Elite Road Central American Championships - WE - IRR;;EL SALVADOR;WE;;1.2;fsc.ciclismo@gmail.com;
14/07/2021;14/07/2021;Global Relay Gastown Grand Prix;;CANADA;WE;;CRT;ernsting@m1sportsmanagement.com;www.globalrelayggp.org
17/07/2021;17/07/2021;Grand Prix Velo Erciyes;;TURKEY;WE;;1.2;info@veloerciyes.com;www.cyclingerciyes.com
18/07/2021;18/07/2021;Grand Prix Develi;;TURKEY;WE;;1.2;info@veloerciyes.com;www.cyclingerciyes.com
25/07/2021;25/07/2021;23. Int. Sparkassen Giro;Bochum, Allemagne;GERMANY;WE;;CRTP;info@olympia-gruppe.de;
29/07/2021;30/07/2021;Tour de Belle Isle en Terre - Kreiz Breizh Elites Dames;;FRANCE;WE;;2.2;alainbaniel@sitekbe.com;www.sitekbe.com
07/08/2021;07/08/2021;Postnord UCI WWT Vårgårda WestSweden TTT;;SWEDEN;WE;;1.WWT;info@vargardacycling.se;www.vargardacycling.se
03/08/2021;08/08/2021;Tour d'Occitanie;;FRANCE;WE;;2.2;contact@tour-occitanie.fr;www.tour-occitanie.fr
08/08/2021;08/08/2021;Postnord UCI WWT Vårgårda WestSweden RR;;SWEDEN;WE;;1.WWT;info@vargardacycling.se;www.vargardacycling.se
14/08/2021;14/08/2021;La Périgord Ladies;;FRANCE;WE;;1.2;tourdulimousin@wanadoo.fr;www.tourdulimousin.com
12/08/2021;15/08/2021;Ladies Tour of Norway;;NORWAY;WE;;2.WWT;ael@eventrix.no;www.ladiestour.no
15/08/2021;15/08/2021;La Picto - Charentaise;;FRANCE;WE;;1.2;poitoucharentesanimation@orange.fr;www.tour-poitou-charentes.com
17/06/2021;17/08/2021;National Road Championships - Russia;;RUSSIAN FEDERATION;;;CN;cycling@fvsr,ru;www.fvsr.ru
19/08/2021;22/08/2021;Vuelta Internacional Femenina a Costa Rica;;COSTA RICA;WE;;2.2;fecoci@fecoci.net;www.fecoci.net
22/08/2021;22/08/2021;MerXem Classic;;BELGIUM;WE;;1.1;merksem.classic@gmail.com;https://merxemclassic.doodlekit.com
17/06/2021;29/08/2021;National Road Championships - Denmark;;DENMARK;;;CN;jens.kasler@cyklingdanmark.dk;dm2021.dk
24/08/2021;29/08/2021;Boels Ladies Tour;;NETHERLANDS;WE;;2.WWT;thijs.rondhuis@gmail.com;www.boelsladiestour.com
26/08/2021;29/08/2021;Colorado Classic;;UNITED STATES OF AMERICA;WE;;2.1;ldiaz@rpmeventsgroup.com;www.coloradoclassic.com
27/08/2021;29/08/2021;Premondiale Giro Toscana Int. Femminile - Memorial Michela Fanini;;ITALY;WE;;2.2;info@michelafanini.com;www.michelafanini.com
30/08/2021;30/08/2021;GP de Plouay - Lorient- Agglomération Trophée CERATIZIT;;FRANCE;WE;;1.WWT;tranvaux.jean-yves@wanadoo.fr;www.grandprix-plouay.com
03/09/2021;05/09/2021;Ceratizit Challenge by la Vuelta;;SPAIN;WE;;2.WWT;madridchallenge@unipublic.es;lavuelta.com/Madridchallenge
05/09/2021;05/09/2021;Grote prijs Beerens;;BELGIUM;WE;;1.2;info@destervanaartselaar.be;www.destervanaartselaar.be
06/09/2021;06/09/2021;Coupe d'Afrique sur Route - WE - TTT;;ALGERIA;WE;;1.2;alg.cyc.fed@gmail.com;
07/09/2021;07/09/2021;Coupe d'Afrique sur Route WE - ITT;;ALGERIA;WE;;1.2;alg.cyc.fed@gmail.com;
10/09/2021;10/09/2021;Coupe d'Afrique sur Route WE - IRR;;ALGERIA;WE;;1.2;alg.cyc.fed@gmail.com;
07/09/2021;12/09/2021;Le Tour de Femina Malaysia;;MALAYSIA;WE;;2.2;deen@ciclista.cc;
08/09/2021;12/09/2021;UEC Road European Championships;;ITALY;;;CC;e.dellacasa@uec.ch;www.uec.ch
12/09/2021;12/09/2021;La Choralis Fourmies Féminine;;FRANCE;WE;;1.2;gpf@mairie-fourmies.fr;www.grandprixdefourmies.com
08/09/2021;14/09/2021;Tour Cycliste Féminin International de l'Ardèche;;FRANCE;WE;;2.1;contact@tcfia.com;www.tcfia.org
17/09/2021;18/09/2021;Trophée des Grimpeuses Vresse-sur-Semois;;BELGIUM;WE;;2.2;gino.verhasselt1@gmail.com;www.tdgvresse.be
19/09/2021;19/09/2021;Grand Prix International d'Isbergues - Pas de Calais Féminin;;FRANCE;WE;;1.2;jean-claude.willems@wanadoo.fr;www.gpisbergues.com
03/10/2021;03/10/2021;Gran Premio Bruno Beghelli  Internazionale Donne Elite;;ITALY;WE;;1.Pro;gsemiliaciclismo@tin.it;www.gsemilia.it
05/10/2021;05/10/2021;Tre Valli Varesine Women's Race;;ITALY;WE;;1.2;women@trevallivaresine.com;www.trevallivaresine.com
17/10/2021;17/10/2021;Chrono des Nations;;FRANCE;WE;;1.1;contact@chronodesnations.com;www.chronodesnations.com
19/10/2021;19/10/2021;Tour of Guangxi - UCI Women's WorldTour;;PEOPLE'S REPUBLIC OF CHINA;WE;;1.WWT;zhangyaoli@wanda.cn;
